UTC_time,CH4_ppb_asrc,CO2_ppm_asrc,CO_ppb_asrc,CH4_ppb_rutgers,CO2_ppm_rutgers,CO_ppb_rutgers
2024-01-01 01:00:00,2147.75,447.96,233.66,2069.5,443.07,208.25
2024-01-01 02:00:00,2233.1,451.97,271.73,2074.34,444.05,204.57
2024-01-01 03:00:00,2263.27,452.82,260.46,2094.94,449.19,231.02
2024-01-01 04:00:00,2271.37,451.65,275.35,2101.47,449.45,240.15
2024-01-01 05:00:00,2257.58,456.63,297.05,2161.3,450.95,242.03
2024-01-01 06:00:00,2311.47,461.89,330.51,2266.54,456.15,270.23
2024-01-01 07:00:00,2224.06,456.57,285.61,2444.77,462.61,312.04
2024-01-01 08:00:00,2172.34,452.52,242.91,2508.85,463.56,314.22
2024-01-01 09:00:00,2185.09,452.01,243.5,2425.12,462.59,302.26
2024-01-01 10:00:00,2224.93,454.78,231.93,2393.97,465.76,309.72
2024-01-01 11:00:00,2198.03,454.14,258.7,2446.67,471.67,320.74
2024-01-01 12:00:00,2170.04,453.08,233.25,2413.3,474.39,322.55
2024-01-01 13:00:00,2220.19,454.55,242.96,2247.08,464.57,273.18
2024-01-01 14:00:00,2153.69,450.54,209.33,2149.07,452.56,214.26
2024-01-01 15:00:00,2334.82,462.48,315.02,2118.21,447.53,189.83
2024-01-01 16:00:00,2196.12,460.66,242.99,2124.75,443.28,188.73
2024-01-01 17:00:00,2314.46,457.07,305.56,2106.97,441.35,176.23
2024-01-01 18:00:00,2230.38,455.18,255.89,2104.55,439.86,174.06
2024-01-01 19:00:00,2190.41,453.39,255.74,2106.42,440.48,178.87
2024-01-01 20:00:00,2134.95,452.42,213.99,2106.49,440.56,182.45
2024-01-01 21:00:00,2136.15,457.95,231.06,2105.18,441.71,186.83
2024-01-01 22:00:00,2148.4,458.96,252.31,2108.15,443.73,204.25
2024-01-01 23:00:00,2138,460.28,254.26,2095.52,441.47,190.74
2024-01-02 00:00:00,2227.55,466.46,274.62,2086.64,442,189.13
2024-01-02 01:00:00,2208.68,457.17,252.2,2083.33,442.52,194.07
2024-01-02 02:00:00,2183.85,461.92,270.58,2083.32,441.75,192.22
2024-01-02 03:00:00,2215.89,459.46,246.33,2082.59,442.65,190.33
2024-01-02 04:00:00,2180.31,461.92,264.64,2072.96,440.62,179.83
2024-01-02 05:00:00,2141.27,460.07,251.09,2071.3,439.98,174.47
2024-01-02 06:00:00,2115.99,456.1,238.24,2073.72,441.19,176.58
2024-01-02 07:00:00,2116.63,456.68,230.6,2085.52,442.69,180.78
2024-01-02 08:00:00,2118.9,453.89,222.85,2083.93,442.86,183.48
2024-01-02 09:00:00,2116.96,452.71,220.45,2058.57,437.02,154.25
2024-01-02 10:00:00,2103.32,453.26,211.99,2063.11,439.56,157.59
2024-01-02 11:00:00,2105.76,456.47,223.23,2063.52,437.45,162.97
2024-01-02 12:00:00,2110.87,460.85,234.56,2067.67,438.72,183.5
2024-01-02 13:00:00,2102.31,463.61,249.92,2089.45,446.02,244.55
2024-01-02 14:00:00,2194.21,461.25,293.92,2072.73,442.68,209.82
2024-01-02 15:00:00,2207.99,460.86,286.95,2063.25,441.27,189.38
2024-01-02 16:00:00,2206.98,450.35,257.8,2044.72,435.57,161.81
2024-01-02 17:00:00,2169.55,451.72,322.01,2041.04,433.66,155.29
2024-01-02 18:00:00,2150.81,451.47,347.85,2047.01,434.5,157.62
2024-01-02 19:00:00,2157.57,452.38,275.41,2057.97,434.85,162.65
2024-01-02 20:00:00,2156.46,451.98,295.44,2052.03,434.77,165.21
2024-01-02 21:00:00,2192.94,454.09,303.8,2055.72,436.05,178.08
2024-01-02 22:00:00,2276.3,461.84,358.46,2064.35,439.69,201.5
2024-01-02 23:00:00,2179.25,464.89,418.73,2086.46,448.72,279.75
2024-01-03 00:00:00,2185.14,471.46,368.37,2095.04,447.89,236.53
2024-01-03 01:00:00,2178.75,465.63,327.61,2086.58,447.87,232.02
2024-01-03 02:00:00,2193.26,467.2,338.65,2100.49,452.16,265.75
2024-01-03 03:00:00,2227.44,461.59,298.53,2092.19,447.46,255.33
2024-01-03 04:00:00,2284.02,461.42,304.41,2087.61,447.69,224.15
2024-01-03 05:00:00,2327.76,457.61,281.45,2094.27,447.66,239.54
2024-01-03 06:00:00,2312.48,460.09,297,2091.63,445.71,206.25
2024-01-03 07:00:00,2231.84,463.13,268.5,2103.63,444.4,191.24
2024-01-03 08:00:00,2211.9,462.02,253.95,2112.33,444.24,198.99
2024-01-03 09:00:00,2224.17,466.75,289.4,2130.32,445.82,192.23
2024-01-03 10:00:00,2204.76,462.67,302.91,2121.56,446.57,192.95
2024-01-03 11:00:00,2201.37,463.39,276.73,2120.49,449.16,203.96
2024-01-03 12:00:00,2203.38,467,283.21,2130.56,451.87,227
2024-01-03 13:00:00,2178.74,458.4,270.33,2132.72,451.84,250.15
2024-01-03 14:00:00,2345.02,465.13,330.54,2135.48,455.48,261.63
2024-01-03 15:00:00,2272.32,462.75,324.26,2102.24,443.94,210.21
2024-01-03 16:00:00,2155.7,456.83,277.36,2080.72,436.63,172.87
2024-01-03 17:00:00,2148.22,450.42,223.86,2078.83,435.67,165.24
2024-01-03 18:00:00,2095.22,446.96,208.02,2080.88,436.51,170.38
2024-01-03 19:00:00,2127.98,451.42,214.55,2072.82,435.27,163.82
2024-01-03 20:00:00,2172.99,450.1,238.17,2079.7,436.24,170.46
2024-01-03 21:00:00,2203.05,452.09,237.04,2086.91,437.69,185.37
2024-01-03 22:00:00,2270.84,454.75,233.15,2076.14,437.18,184.97
2024-01-03 23:00:00,2207.8,457.47,286.93,2076.7,438.73,189.18
2024-01-04 00:00:00,2115.58,456.55,267.97,2076.89,439.67,188.56
2024-01-04 01:00:00,2113.74,456.06,276.66,2089.09,442.37,206.08
2024-01-04 02:00:00,2145.88,458.62,287.47,2085.34,440.56,188.62
2024-01-04 03:00:00,2198.14,460.92,328.08,2082.71,443.04,188.18
2024-01-04 04:00:00,2182.99,456.92,318.19,2086.16,443.7,190.52
2024-01-04 05:00:00,2115.27,446.55,212.62,2115.24,450.98,214.49
2024-01-04 06:00:00,2112.7,450.16,205.83,2164.13,462.92,259.72
2024-01-04 07:00:00,2150.12,445.95,195.91,2176.06,470.63,286.34
2024-01-04 08:00:00,2174.95,448.81,224.25,2183.31,472.95,302.47
2024-01-04 09:00:00,2314.83,455.53,244.45,2265.17,479.68,333.27
2024-01-04 10:00:00,2331.84,461.18,292.64,2331.97,497.92,364.21
2024-01-04 11:00:00,2320.56,462.19,295.21,2351.66,503.79,375.08
2024-01-04 12:00:00,2337.38,462.67,271.2,2401.67,516.88,447.19
2024-01-04 13:00:00,2186.82,457.41,247.61,2344.73,507.71,470.03
2024-01-04 14:00:00,2183.08,456.99,270.7,2289.27,502.4,465.36
2024-01-04 15:00:00,2177.04,459.12,267.15,2185.16,465.91,315.79
2024-01-04 16:00:00,2168.3,463.92,294.66,2176.79,453.98,238.8
2024-01-04 17:00:00,2167.9,456.27,258.76,2149.57,448.85,216.75
2024-01-04 18:00:00,2173.6,447.67,191.8,2083.84,437.68,165.63
2024-01-04 19:00:00,2191.59,444.97,188.43,2068.95,435.75,157.2
2024-01-04 20:00:00,2159.41,443.54,179.51,2060.69,436.5,161.01
2024-01-04 21:00:00,2136.1,443.47,189.42,2047.96,434.86,154.05
2024-01-04 22:00:00,2134.62,442.79,181.57,2041.62,434.88,157.79
2024-01-04 23:00:00,2085.11,442.05,186.29,2038.75,433.99,160.21
2024-01-05 00:00:00,2119.79,441.73,187.35,2037.1,432.42,151.62
2024-01-05 01:00:00,2119.92,439.43,172.46,2033.53,432.01,146.94
2024-01-05 02:00:00,2116.36,439.43,179.39,2035.27,432.08,148.33
2024-01-05 03:00:00,2132.03,439.17,172.35,2034.03,432.76,149.43
2024-01-05 04:00:00,2124.85,439.71,177.57,2029.91,430.26,142.94
2024-01-05 05:00:00,2124.1,439.66,169.4,2036.78,430.78,146.57
2024-01-05 06:00:00,2131.23,440.47,175.94,2046.76,432.52,151.42
2024-01-05 07:00:00,2118.08,438.34,167.66,2052.37,434.75,157.06
2024-01-05 08:00:00,2120.54,438.19,171.73,2045.41,432.1,148.03
2024-01-05 09:00:00,2106.39,441.39,187.3,2046.25,433.35,150.46
2024-01-05 10:00:00,2100.16,447.6,211.31,2063.85,438.61,179.43
2024-01-05 11:00:00,2099.51,447.78,227.08,2061.4,439.74,177.41
2024-01-05 12:00:00,2131.03,447.72,226.47,2066.41,441.33,200.34
2024-01-05 13:00:00,2133.82,459.02,275.94,2084.35,441.57,217.94
2024-01-05 14:00:00,2135.31,463.05,329.14,2077.41,440.61,214.37
2024-01-05 15:00:00,2128.26,453.87,281.26,2055.3,436.09,182.26
2024-01-05 16:00:00,2117.13,446.68,230.75,2041.74,432.78,159.17
2024-01-05 17:00:00,2072.8,442.27,231.16,2035.93,430.62,154.58
2024-01-05 18:00:00,2054.12,442.12,201.89,2035.83,429.99,151.41
2024-01-05 19:00:00,2057.18,440.38,204.01,2033.22,430.12,151.5
2024-01-05 20:00:00,2050.34,440.7,189.08,2037.03,429.8,153.25
2024-01-05 21:00:00,2060.21,443.77,229.81,2039.9,430.58,160.24
2024-01-05 22:00:00,2065.34,442.85,210.39,2044.32,433.5,167.46
2024-01-05 23:00:00,2082.32,445.19,233.29,2050.66,438.04,188.35
2024-01-06 00:00:00,2132.74,451.5,262.71,2070.64,443.4,228.66
2024-01-06 01:00:00,2215.51,464.77,360.05,2078.51,446.36,235.54
2024-01-06 02:00:00,2177.11,463.26,320.39,2099.88,449.43,249.34
2024-01-06 03:00:00,2203.44,463.6,333.78,2109.46,454.28,280.95
2024-01-06 04:00:00,2234.36,463.9,348.15,2122.23,456.79,275.49
2024-01-06 05:00:00,2232.06,460.27,314.89,2130.77,458.74,288
2024-01-06 06:00:00,2307.04,461.08,309.05,2248.36,471.85,352.32
2024-01-06 07:00:00,2343.78,465.54,323.54,2528.68,480.29,390.77
2024-01-06 08:00:00,2326.66,471.15,371.27,2642.21,481.36,411.79
2024-01-06 09:00:00,2313.03,471.23,361.84,2662.59,485.42,406.59
2024-01-06 10:00:00,2219.91,460.91,322.13,2653.37,515.72,520.62
2024-01-06 11:00:00,2343.6,472.01,391.93,2570.64,532.54,549.6
2024-01-06 12:00:00,2474.05,502.68,651.21,2563.04,541.41,535.42
2024-01-06 13:00:00,2363.9,505.92,608.29,4807.41,552.39,664.65
2024-01-06 14:00:00,2282.9,491.95,471.45,12381.49,539.22,583.61
2024-01-06 15:00:00,2158.21,468.82,365.81,4253.44,528.16,652.17
2024-01-06 16:00:00,2153.26,464.86,362.04,3322.92,510.08,564.52
